Entity,Code,Date,daily_vaccinations
Alabama,,1/13/2021,5906
Alabama,,1/14/2021,7083
Alabama,,1/15/2021,7478
Alabama,,1/16/2021,7498
Alabama,,1/17/2021,7509
Alabama,,1/18/2021,7517
Alabama,,1/19/2021,7523
Alabama,,1/20/2021,7880
Alabama,,1/21/2021,10517
Alabama,,1/22/2021,14107
Alabama,,1/23/2021,16202
Alabama,,1/24/2021,18294
Alabama,,1/25/2021,18196
Alabama,,1/26/2021,17738
Alabama,,1/27/2021,18178
Alabama,,1/28/2021,16153
Alabama,,1/29/2021,14514
Alabama,,1/30/2021,17271
Alabama,,1/31/2021,15748
Alabama,,2/1/2021,15381
Alabama,,2/2/2021,16703
Alabama,,2/3/2021,17414
Alabama,,2/4/2021,18491
Alabama,,2/5/2021,18526
Alabama,,2/6/2021,16105
Alabama,,2/7/2021,15480
Alabama,,2/8/2021,15622
Alabama,,2/9/2021,17012
Alabama,,2/10/2021,18209
Alabama,,2/11/2021,19258
Alabama,,2/12/2021,20074
Alabama,,2/13/2021,20855
Alabama,,2/14/2021,21417
Alabama,,2/15/2021,22405
Alabama,,2/16/2021,20816
Alabama,,2/17/2021,19174
Alabama,,2/18/2021,18400
Alabama,,2/19/2021,24002
Alabama,,2/20/2021,25111
Alabama,,2/21/2021,25194
Alabama,,2/22/2021,24164
Alabama,,2/23/2021,25489
Alabama,,2/24/2021,27098
Alabama,,2/25/2021,27531
Alabama,,2/26/2021,22104
Alabama,,2/27/2021,22022
Alabama,,2/28/2021,21984
Alabama,,3/1/2021,22111
Alabama,,3/2/2021,22436
Alabama,,3/3/2021,22904
Alabama,,3/4/2021,23916
Alabama,,3/5/2021,24388
Alabama,,3/6/2021,24087
Alabama,,3/7/2021,23947
Alabama,,3/8/2021,24040
Alabama,,3/9/2021,24118
Alabama,,3/10/2021,24827
Alabama,,3/11/2021,25376
Alabama,,3/12/2021,26375
Alabama,,3/13/2021,26935
Alabama,,3/14/2021,26926
Alaska,,1/13/2021,2842
Alaska,,1/14/2021,3379
Alaska,,1/15/2021,4400
Alaska,,1/16/2021,4381
Alaska,,1/17/2021,4369
Alaska,,1/18/2021,4362
Alaska,,1/19/2021,4356
Alaska,,1/20/2021,4230
Alaska,,1/21/2021,4187
Alaska,,1/22/2021,4580
Alaska,,1/23/2021,4997
Alaska,,1/24/2021,5225
Alaska,,1/25/2021,5003
Alaska,,1/26/2021,4545
Alaska,,1/27/2021,4758
Alaska,,1/28/2021,4850
Alaska,,1/29/2021,4186
Alaska,,1/30/2021,3846
Alaska,,1/31/2021,3619
Alaska,,2/1/2021,3570
Alaska,,2/2/2021,3613
Alaska,,2/3/2021,3453
Alaska,,2/4/2021,3440
Alaska,,2/5/2021,3372
Alaska,,2/6/2021,3411
Alaska,,2/7/2021,3785
Alaska,,2/8/2021,4131
Alaska,,2/9/2021,4204
Alaska,,2/10/2021,4356
Alaska,,2/11/2021,4620
Alaska,,2/12/2021,4776
Alaska,,2/13/2021,5142
Alaska,,2/14/2021,5393
