State Name,State ID,unmatched
Alabama,AL,
Alaska,AK,NYC
American Samoa,AS,
Arizona,AZ,
Arkansas,AR,
California,CA,
Colorado,CO,
Connecticut,CT,
Delaware,DE,
District of Columbia,DC,
Federated States of Micronesia,FSM,
Florida,FL,
Georgia,GA,
Guam,GU,
Hawaii,HI,
Idaho,ID,
Illinois,IL,
Indiana,IN,
Iowa,IA,
Kansas,KS,
Kentucky,KY,
Louisiana,LA,
Maine,ME,
Marshall Islands,RMI,
Maryland,MD,
Massachusetts,MA,
Michigan,MI,
Minnesota,MN,
Mississippi,MS,
Missouri,MO,
Montana,MT, 
Nebraska,NE,
Nevada,NV,
New Hampshire,NH,
New Jersey,NJ,
New Mexico,NM,
New York State,NY,
North Carolina,NC,
North Dakota,ND,
Northern Mariana Islands,MP,
Ohio,OH,
Oklahoma,OK,
Oregon,OR,
Pennsylvania,PA,
Puerto Rico,PR,
Republic of Palau,PW,
Rhode Island,RI,
South Carolina,SC,
South Dakota,SD,
Tennessee,TN,
Texas,TX,
United States,,
Utah,UT,
Vermont,VT,
Virginia,VA,
Virgin Islands,VI,
Washington,WA,
West Virginia,WV,
Wisconsin,WI,
Wyoming,WY,
