submission_date,tot_cases,new_cases,tot_deaths,new_deaths,state_name
1/22/2020,0,0,0,0,New York
1/23/2020,0,0,0,0,New York
1/24/2020,0,0,0,0,New York
1/25/2020,0,0,0,0,New York
1/26/2020,0,0,0,0,New York
1/27/2020,0,0,0,0,New York
1/28/2020,0,0,0,0,New York
1/29/2020,0,0,0,0,New York
1/30/2020,0,0,0,0,New York
1/31/2020,0,0,0,0,New York
2/1/2020,0,0,0,0,New York
2/2/2020,0,0,0,0,New York
2/3/2020,0,0,0,0,New York
2/4/2020,0,0,0,0,New York
2/5/2020,0,0,0,0,New York
2/6/2020,0,0,0,0,New York
2/7/2020,0,0,0,0,New York
2/8/2020,0,0,0,0,New York
2/9/2020,0,0,0,0,New York
2/10/2020,0,0,0,0,New York
2/11/2020,0,0,0,0,New York
2/12/2020,0,0,0,0,New York
2/13/2020,0,0,0,0,New York
2/14/2020,0,0,0,0,New York
2/15/2020,0,0,0,0,New York
2/16/2020,0,0,0,0,New York
2/17/2020,0,0,0,0,New York
2/18/2020,0,0,0,0,New York
2/19/2020,0,0,0,0,New York
2/20/2020,0,0,0,0,New York
2/21/2020,0,0,0,0,New York
2/22/2020,0,0,0,0,New York
2/23/2020,0,0,0,0,New York
2/24/2020,0,0,0,0,New York
2/25/2020,0,0,0,0,New York
2/26/2020,0,0,0,0,New York
2/27/2020,0,0,0,0,New York
2/28/2020,0,0,0,0,New York
2/29/2020,0,0,0,0,New York
3/1/2020,0,0,0,0,New York
3/2/2020,1,1,0,0,New York
3/3/2020,1,0,0,0,New York
3/4/2020,2,1,0,0,New York
3/5/2020,14,12,0,0,New York
3/6/2020,23,9,0,0,New York
3/7/2020,30,7,0,0,New York
3/8/2020,40,10,0,0,New York
3/9/2020,142,102,0,0,New York
3/10/2020,173,31,0,0,New York
3/11/2020,217,44,0,0,New York
3/12/2020,325,108,0,0,New York
3/13/2020,362,37,0,0,New York
3/14/2020,461,99,0,0,New York
3/15/2020,669,208,6,6,New York
3/16/2020,831,162,6,0,New York
3/17/2020,2601,1770,12,6,New York
3/18/2020,4597,1996,22,10,New York
3/19/2020,6834,2237,34,12,New York
3/20/2020,7845,1011,44,10,New York
3/21/2020,10356,2511,64,20,New York
3/22/2020,15168,4812,87,23,New York
3/23/2020,21689,6521,156,69,New York
3/24/2020,26358,4669,231,75,New York
3/25/2020,32966,6608,332,101,New York
3/26/2020,38977,6011,424,92,New York
3/27/2020,45934,6957,546,122,New York
3/28/2020,53308,7374,779,233,New York
3/29/2020,59219,5911,895,116,New York
3/30/2020,67131,7912,1069,174,New York
3/31/2020,74427,7296,1307,238,New York
