Entity,Code,Date,people_fully_vaccinated
Alabama,,1/12/2021,7270
Alabama,,1/13/2021,9245
Alabama,,1/15/2021,13488
Alabama,,1/19/2021,16346
Alabama,,1/20/2021,17956
Alabama,,1/21/2021,21345
Alabama,,1/22/2021,24840
Alabama,,1/23/2021,27422
Alabama,,1/24/2021,29736
Alabama,,1/25/2021,29978
Alabama,,1/26/2021,30933
Alabama,,1/27/2021,33595
Alabama,,1/28/2021,37431
Alabama,,1/29/2021,44073
Alabama,,1/30/2021,53742
Alabama,,1/31/2021,55331
Alabama,,2/1/2021,56308
Alabama,,2/2/2021,58825
Alabama,,2/3/2021,62990
Alabama,,2/4/2021,69155
Alabama,,2/5/2021,76603
Alabama,,2/6/2021,84278
Alabama,,2/7/2021,86141
Alabama,,2/8/2021,88453
Alabama,,2/9/2021,95033
Alabama,,2/10/2021,102520
Alabama,,2/11/2021,111036
Alabama,,2/12/2021,122019
Alabama,,2/13/2021,133029
Alabama,,2/14/2021,137032
Alabama,,2/16/2021,149288
Alabama,,2/17/2021,154341
Alabama,,2/18/2021,165104
Alabama,,2/19/2021,192304
Alabama,,2/20/2021,214512
Alabama,,2/21/2021,219639
Alabama,,2/22/2021,221785
Alabama,,2/23/2021,233073
Alabama,,2/24/2021,247024
Alabama,,2/25/2021,261689
Alabama,,2/26/2021,278985
Alabama,,2/27/2021,300548
Alabama,,2/28/2021,305731
Alabama,,3/1/2021,308416
Alabama,,3/2/2021,322346
Alabama,,3/3/2021,338967
Alabama,,3/4/2021,357384
Alabama,,3/5/2021,374826
Alabama,,3/6/2021,393619
Alabama,,3/7/2021,398035
Alabama,,3/8/2021,409937
Alabama,,3/9/2021,420083
Alabama,,3/10/2021,435018
Alabama,,3/11/2021,452746
Alabama,,3/12/2021,472325
Alabama,,3/13/2021,492755
Alabama,,3/14/2021,497653
Alaska,,1/12/2021,5400
Alaska,,1/13/2021,6166
Alaska,,1/15/2021,9406
Alaska,,1/19/2021,10802
Alaska,,1/20/2021,11283
Alaska,,1/21/2021,12352
Alaska,,1/22/2021,13718
Alaska,,1/23/2021,15206
Alaska,,1/24/2021,16201
Alaska,,1/25/2021,16673
Alaska,,1/26/2021,16815
Alaska,,1/27/2021,18097
Alaska,,1/28/2021,20045
Alaska,,1/29/2021,21593
Alaska,,1/30/2021,23320
Alaska,,1/31/2021,24545
Alaska,,2/1/2021,25467
Alaska,,2/2/2021,26207
Alaska,,2/3/2021,27528
Alaska,,2/4/2021,30172
Alaska,,2/5/2021,32593
Alaska,,2/6/2021,35773
Alaska,,2/7/2021,39541
Alaska,,2/8/2021,40812
Alaska,,2/9/2021,41698
Alaska,,2/10/2021,43552
Alaska,,2/11/2021,46006
Alaska,,2/12/2021,48969
Alaska,,2/13/2021,52380
Alaska,,2/14/2021,57117
Alaska,,2/16/2021,60964
Alaska,,2/17/2021,62474
Alaska,,2/18/2021,65245
Alaska,,2/19/2021,71892
Alaska,,2/20/2021,78623
Alaska,,2/21/2021,82272
Alaska,,2/22/2021,84385
Alaska,,2/23/2021,84984
Alaska,,2/24/2021,87061
Alaska,,2/25/2021,90416
Alaska,,2/26/2021,92407
Alaska,,2/27/2021,95485
Alaska,,2/28/2021,97692
Alaska,,3/1/2021,100024
Alaska,,3/2/2021,101000
Alaska,,3/3/2021,102472
Alaska,,3/4/2021,104193
Alaska,,3/5/2021,106597
Alaska,,3/6/2021,110078
Alaska,,3/7/2021,113792
Alaska,,3/8/2021,115635
Alaska,,3/9/2021,117345
Alaska,,3/10/2021,119073
Alaska,,3/11/2021,122197
Alaska,,3/12/2021,124170
Alaska,,3/13/2021,126647
Alaska,,3/14/2021,130857
American Samoa,ASM,1/12/2021,260
American Samoa,ASM,1/13/2021,362
American Samoa,ASM,1/15/2021,738
American Samoa,ASM,1/19/2021,770
American Samoa,ASM,1/20/2021,836
American Samoa,ASM,1/21/2021,929
American Samoa,ASM,1/22/2021,940
American Samoa,ASM,1/23/2021,948
American Samoa,ASM,1/24/2021,948
American Samoa,ASM,1/25/2021,948
American Samoa,ASM,1/26/2021,948
American Samoa,ASM,1/27/2021,950
American Samoa,ASM,1/28/2021,950
American Samoa,ASM,1/29/2021,997
American Samoa,ASM,1/30/2021,997
American Samoa,ASM,1/31/2021,997
American Samoa,ASM,2/1/2021,1046
American Samoa,ASM,2/2/2021,1046
American Samoa,ASM,2/3/2021,1305
American Samoa,ASM,2/4/2021,1494
American Samoa,ASM,2/5/2021,2252
American Samoa,ASM,2/6/2021,2478
American Samoa,ASM,2/7/2021,2478
American Samoa,ASM,2/8/2021,2478
American Samoa,ASM,2/9/2021,2885
American Samoa,ASM,2/10/2021,3494
American Samoa,ASM,2/11/2021,3685
American Samoa,ASM,2/12/2021,4968
American Samoa,ASM,2/13/2021,5308
American Samoa,ASM,2/14/2021,5308
American Samoa,ASM,2/16/2021,5860
American Samoa,ASM,2/17/2021,5989
American Samoa,ASM,2/18/2021,5989
American Samoa,ASM,2/19/2021,5989
American Samoa,ASM,2/20/2021,6893
American Samoa,ASM,2/21/2021,7811
American Samoa,ASM,2/22/2021,7818
American Samoa,ASM,2/23/2021,7818
American Samoa,ASM,2/24/2021,7979
American Samoa,ASM,2/25/2021,7979
American Samoa,ASM,2/26/2021,8037
American Samoa,ASM,2/27/2021,8037
American Samoa,ASM,2/28/2021,8037
American Samoa,ASM,3/1/2021,8037
American Samoa,ASM,3/2/2021,8099
American Samoa,ASM,3/3/2021,8099
American Samoa,ASM,3/4/2021,8208
American Samoa,ASM,3/5/2021,8208
American Samoa,ASM,3/6/2021,8208
American Samoa,ASM,3/7/2021,8208
American Samoa,ASM,3/8/2021,8254
American Samoa,ASM,3/9/2021,8254
American Samoa,ASM,3/10/2021,8706
American Samoa,ASM,3/11/2021,8706
American Samoa,ASM,3/12/2021,8706
American Samoa,ASM,3/13/2021,8713
American Samoa,ASM,3/14/2021,8713
Arizona,,1/12/2021,8343
Arizona,,1/13/2021,12392
Arizona,,1/15/2021,20837
Arizona,,1/19/2021,30892
Arizona,,1/20/2021,34788
Arizona,,1/21/2021,41613
Arizona,,1/22/2021,48938
Arizona,,1/23/2021,55014
Arizona,,1/24/2021,58291
Arizona,,1/25/2021,62711
Arizona,,1/26/2021,64551
