Entity,Code,Date,daily_vaccinations_per_million
Alabama,,1/13/2021,1205
Alabama,,1/14/2021,1445
Alabama,,1/15/2021,1525
Alabama,,1/16/2021,1529
Alabama,,1/17/2021,1531
Alabama,,1/18/2021,1533
Alabama,,1/19/2021,1534
Alabama,,1/20/2021,1607
Alabama,,1/21/2021,2145
Alabama,,1/22/2021,2877
Alabama,,1/23/2021,3304
Alabama,,1/24/2021,3731
Alabama,,1/25/2021,3711
Alabama,,1/26/2021,3618
Alabama,,1/27/2021,3707
Alabama,,1/28/2021,3294
Alabama,,1/29/2021,2960
Alabama,,1/30/2021,3522
Alabama,,1/31/2021,3212
Alabama,,2/1/2021,3137
Alabama,,2/2/2021,3407
Alabama,,2/3/2021,3552
Alabama,,2/4/2021,3771
Alabama,,2/5/2021,3778
Alabama,,2/6/2021,3285
Alabama,,2/7/2021,3157
Alabama,,2/8/2021,3186
Alabama,,2/9/2021,3470
Alabama,,2/10/2021,3714
Alabama,,2/11/2021,3928
Alabama,,2/12/2021,4094
Alabama,,2/13/2021,4253
Alabama,,2/14/2021,4368
Alabama,,2/15/2021,4569
Alabama,,2/16/2021,4245
Alabama,,2/17/2021,3911
Alabama,,2/18/2021,3753
Alabama,,2/19/2021,4895
Alabama,,2/20/2021,5121
Alabama,,2/21/2021,5138
Alabama,,2/22/2021,4928
Alabama,,2/23/2021,5198
Alabama,,2/24/2021,5527
Alabama,,2/25/2021,5615
Alabama,,2/26/2021,4508
Alabama,,2/27/2021,4491
Alabama,,2/28/2021,4484
Alabama,,3/1/2021,4510
Alabama,,3/2/2021,4576
Alabama,,3/3/2021,4671
Alabama,,3/4/2021,4878
Alabama,,3/5/2021,4974
Alabama,,3/6/2021,4913
Alabama,,3/7/2021,4884
Alabama,,3/8/2021,4903
Alabama,,3/9/2021,4919
Alabama,,3/10/2021,5063
Alabama,,3/11/2021,5175
Alabama,,3/12/2021,5379
Alabama,,3/13/2021,5493
Alabama,,3/14/2021,5492
Alaska,,1/13/2021,3885
Alaska,,1/14/2021,4619
Alaska,,1/15/2021,6015
Alaska,,1/16/2021,5989
Alaska,,1/17/2021,5972
Alaska,,1/18/2021,5963
Alaska,,1/19/2021,5955
Alaska,,1/20/2021,5782
Alaska,,1/21/2021,5724
Alaska,,1/22/2021,6261
Alaska,,1/23/2021,6831
Alaska,,1/24/2021,7142
Alaska,,1/25/2021,6839
